,Date,State,District,Confirmed,Recovered,Deceased,Tested
130712,2021-02-11,Punjab,Shahid Bhagat Singh Nagar,2985,2585,92,77715.0
130713,2021-02-11,Punjab,Sri Muktsar Sahib,3883,3772,98,67979.0
130714,2021-02-11,Punjab,Tarn Taran,2171,2045,106,111446.0
130715,2021-02-11,Puducherry,Karaikal,3941,3827,66,73142.0
130716,2021-02-11,Puducherry,Mahe,2126,2048,10,42415.0
130717,2021-02-11,Puducherry,Puducherry,31210,30495,535,425639.0
130718,2021-02-11,Puducherry,Yanam,2120,2075,45,26727.0
130719,2021-02-11,Rajasthan,Ajmer,17102,16795,222,261215.0
130720,2021-02-11,Rajasthan,Alwar,21809,21697,78,291879.0
130721,2021-02-11,Rajasthan,Banswara,2313,2258,34,48781.0
130722,2021-02-11,Rajasthan,Baran,2640,2586,36,46168.0
130723,2021-02-11,Rajasthan,Barmer,5042,4974,53,113868.0
130724,2021-02-11,Rajasthan,Bharatpur,9089,8955,120,201441.0
130725,2021-02-11,Rajasthan,Bhilwara,10315,10170,40,148764.0
130726,2021-02-11,Rajasthan,Bikaner,19060,18885,167,278302.0
