,Date,State,District,Confirmed,Recovered,Deceased,Tested,Population
144,2021-02-11,Karnataka,Ramanagara,7422,7337,77,103399.0,1082636
145,2021-02-11,Karnataka,Udupi,23431,23192,189,86092.0,1177361
146,2021-02-11,Karnataka,Uttara Kannada,14645,14427,178,13833.0,1437169
147,2021-02-11,Karnataka,Yadgir,10675,10603,61,221485.0,1174271
148,2021-02-11,Kerala,Idukki,25431,21910,36,237691.0,1108974
149,2021-02-11,Kerala,Kannur,50146,46129,267,392136.0,2523003
150,2021-02-11,Kerala,Kozhikode,111392,105007,421,955060.0,3086293
151,2021-02-11,Kerala,Malappuram,110832,107347,396,469850.0,4112920
152,2021-02-11,Kerala,Palakkad,57151,53391,171,226562.0,2809934
153,2021-02-11,Kerala,Pathanamthitta,50076,42770,95,306034.0,1197412
154,2021-02-11,Kerala,Thiruvananthapuram,97500,92535,783,436661.0,3301427
155,2021-02-11,Kerala,Thrissur,92400,87459,403,639055.0,3121200
156,2021-02-11,Kerala,Wayanad,24901,22488,76,211953.0,817420
157,2021-02-11,Ladakh,Kargil,2112,2062,44,37471.0,140802
158,2021-02-11,Lakshadweep,Lakshadweep,187,116,0,12738.0,64473
159,2021-02-11,Maharashtra,Bhandara,13625,13143,310,54195.0,1200334
160,2021-02-11,Maharashtra,Chandrapur,24269,23626,410,199809.0,2204307
161,2021-02-11,Maharashtra,Dhule,16242,15766,337,90092.0,2050862
162,2021-02-11,Maharashtra,Gadchiroli,8877,8730,99,11993.0,1072942
163,2021-02-11,Maharashtra,Jalgaon,57872,55828,1490,429198.0,4229917
164,2021-02-11,Maharashtra,Jalna,13563,13089,366,117047.0,1959046
165,2021-02-11,Maharashtra,Mumbai,312303,295846,11405,2789713.0,3085411
166,2021-02-11,Maharashtra,Nagpur,138838,131926,3422,382083.0,4653570
167,2021-02-11,Maharashtra,Nanded,22496,21514,677,117319.0,3361292
168,2021-02-11,Maharashtra,Nandurbar,9916,9338,213,37740.0,1648295
